appid,tags
22670,Action;Aliens;Arcade;Atmospheric;Co-op;Episodic;Horror;Isometric;Local Multiplayer;Multiplayer;Online Co-Op;Open World;Sci-fi;Shooter;Singleplayer;Space;Third Person;Top-Down;Top-Down Shooter;Twin Stick Shooter
23150,2D;Casual;Colorful;Cute;Family Friendly;Indie;Logic;Match 3;Nature;Old School;Puzzle;Relaxing;Retro;Score Attack;Singleplayer;Solitaire;Survival;Tutorial
23300,Casual;Cute;Puzzle;Singleplayer
23380,Casual;Match 3;Puzzle;RPG;Singleplayer
23400,City Builder;Colony Sim;Historical;Rome;Simulation;Singleplayer;Strategy
23420,Grand Strategy;Historical;Real-Time with Pause;Rome;RTS;Simulation;Strategy
23450,Building;City Builder;Historical;Multiplayer;Rome;RTS;Simulation;Singleplayer;Strategy
23455,
23460,Action;Adventure;Casual;Comedy;Fantasy;Funny;Point & Click;Puzzle;Singleplayer;Strategy;Villain Protagonist
23490,Atmospheric;City Builder;Classic;Cold War;Comedy;Economy;Funny;Great Soundtrack;Management;Multiplayer;Open World;Political Sim;Politics;Sandbox;Satire;Simulation;Singleplayer;Strategy
23500,Casual;Match 3;Puzzle;RPG;Sci-fi;Singleplayer
23530,Action;Aliens;Co-op;Mechs;Multiplayer;Online Co-Op;Robots;Sci-fi;Shooter;Singleplayer;Third Person;Third-Person Shooter
23600,Action RPG;Indie;RPG;Singleplayer;Strategy
23700,Casual;Fantasy;Match 3;Puzzle;RPG;Singleplayer
24010,Action;Adventure;Atmospheric;Building;Casual;City Builder;Driving;Level Editor;Moddable;Open World;Realistic;Relaxing;Sandbox;Simulation;Singleplayer;Strategy;TrackIR;Trains;Transportation;VR
24200,Action;Adventure;Beat 'em up;Character Customization;Co-op;Combat;Comic Book;Controller;Exploration;Fighting;Free to Play;Massively Multiplayer;MMORPG;Multiplayer;Online Co-Op;Open World;PvP;RPG;Superhero;Third Person
24240,Action;Adventure;Co-op;Crime;Difficult;First-Person;FPS;Great Soundtrack;Heist;Indie;Multiplayer;Online Co-Op;RPG;Shooter;Simulation;Singleplayer;Stealth;Strategy;Tactical;Team-Based
24400,Fantasy;Grand Strategy;Medieval;Real-Time with Pause;RPG;Singleplayer;Strategy;Turn-Based;Turn-Based Strategy
24410,Historical;Medieval;Singleplayer;Strategy
24420,2D;Action;Adventure;Atmospheric;Beautiful;Exploration;Fantasy;Female Protagonist;Great Soundtrack;Immersive;Indie;Metroidvania;Open World;Philosophical;Platformer;Puzzle;Side Scroller;Singleplayer;Story Rich;Underwater
24460,Fantasy;RPG;Strategy
24480,Fantasy;RPG;RTS;Singleplayer;Strategy
24640,Simulation;Trains
24650,Simulation;Trains
24660,Simulation;Trains
24670,Multiplayer;Realistic;Sandbox;Simulation;Singleplayer;Trains
24720,Action;Adventure;Atmospheric;Casual;Character Customization;Comedy;Crafting;Exploration;Funny;God Game;Level Editor;Multiplayer;Open World;RPG;Sandbox;Sci-fi;Simulation;Singleplayer;Space;Strategy
24780,Atmospheric;Base-Building;Building;Casual;City Builder;Classic;Economy;Family Friendly;God Game;Immersive Sim;Isometric;Management;Moddable;Multiplayer;Old School;Realistic;Sandbox;Simulation;Singleplayer;Strategy
24790,Action;Action RTS;Aliens;Atmospheric;Base-Building;City Builder;Classic;Family Friendly;FMV;Futuristic;Great Soundtrack;Level Editor;Multiplayer;Post-apocalyptic;RTS;Sci-fi;Singleplayer;Story Rich;Strategy;War
24800,Action;Alternate History;Anime;Atmospheric;Base-Building;Co-op;Cold War;Family Friendly;FMV;Free to Play;Futuristic;Level Editor;Military;Multiplayer;RTS;Sci-fi;Sexual Content;Singleplayer;Strategy;War
24810,3D;Action;Aliens;Atmospheric;Base-Building;Building;Co-op;Difficult;Family Friendly;FMV;Grand Strategy;Level Editor;Multiplayer;Post-apocalyptic;RTS;Sci-fi;Singleplayer;Story Rich;Strategy;War
24880,Action;Adventure;Atmospheric;Classic;Controller;Noir;Nudity;Open World;Parkour;Sexual Content;Singleplayer;Stealth;Third Person;War;World War II
25000,Action;Adventure;Combat;Difficult;Fast-Paced;Fighting;Funny;Gore;Indie;Local Co-Op;Martial Arts;Moddable;Multiplayer;Ninja;Open World;Parkour;Physics;Sandbox;Singleplayer;Third Person
25010,3D;3D Fighter;Action;Adventure;Atmospheric;Beat 'em up;Difficult;Fighting;Gore;Indie;Martial Arts;Open World;Parkour;RPG;Sandbox;Singleplayer;Swordplay;Third Person
25500,Cricket;Indie;Simulation;Sports
25600,2D;CRPG;Exploration;Fantasy;Free to Play;Indie;Isometric;Old School;Open World;RPG;Singleplayer;Turn-Based;Turn-Based Combat
25620,2D;CRPG;Fantasy;Indie;Isometric;RPG;Turn-Based
25700,Action;Casual;Co-op;Indie;Multiplayer;Shooter;Top-Down
25800,4X;Addictive;Alternate History;Co-op;Grand Strategy;Great Soundtrack;Historical;Logic;Medieval;Moddable;Multiplayer;Political;Political Sim;Real-Time with Pause;RTS;Sandbox;Simulation;Singleplayer;Strategy;War
25808,Grand Strategy;Strategy
25830,Classic;Diplomacy;Grand Strategy;Great Soundtrack;Historical;Medieval;Multiplayer;Real-Time;RTS;Simulation;Singleplayer;Strategy;War
25850,Fantasy;RPG;Strategy;Turn-Based;Turn-Based Strategy
25890,Alternate History;Difficult;Grand Strategy;Great Soundtrack;Historical;Military;Multiplayer;Politics;Real-Time with Pause;RTS;Sandbox;Simulation;Singleplayer;Strategy;War;Wargame;World War I;World War II
25900,Addictive;Adventure;Atmospheric;Classic;Comedy;Exploration;Fantasy;Great Soundtrack;Hex Grid;Open World;RPG;Singleplayer;Strategy;Strategy RPG;Tactical;Tactical RPG;Turn-Based;Turn-Based Combat;Turn-Based Strategy
25910,Grand Strategy;Hex Grid;Management;Military;Moddable;Modern;Multiplayer;Political;Political Sim;Politics;Real-Time with Pause;RTS;Sandbox;Simulation;Singleplayer;Strategy;Tactical;Top-Down;War;Wargame
25930,Adventure;Capitalism;City Builder;Diplomacy;Economy;Exploration;Grand Strategy;Historical;Management;Medieval;Naval Combat;Pirates;Political;Political Sim;RTS;Sailing;Simulation;Strategy;Tactical;Trading
25980,Base-Building;City Builder;Difficult;Fantasy;Management;Multiplayer;RTS;Simulation;Singleplayer;Strategy
25990,Base-Building;City Builder;Classic;Economy;Fantasy;God Game;Isometric;Management;Medieval;Multiplayer;RTS;Simulation;Singleplayer;Strategy
26000,3D Platformer;Action;Adventure;Aliens;Casual;Comedy;Cute;Family Friendly;Funny;Indie;Platformer;Puzzle;Singleplayer
26300,Action;FPS;Indie
26500,3D;Casual;Difficult;Family Friendly;Indie;Logic;Puzzle;Singleplayer;Steampunk
26800,2D;2D Platformer;Adventure;Atmospheric;Beautiful;Casual;Classic;Difficult;Great Soundtrack;Indie;Platformer;Puzzle;Puzzle-Platformer;Short;Side Scroller;Singleplayer;Story Rich;Strategy;Time Manipulation;Time Travel
26900,2D;Casual;Cute;Family Friendly;Great Soundtrack;Hand-drawn;Indie;Level Editor;Physics;Puzzle;Relaxing;Sandbox;Simulation;Singleplayer;Touch-Friendly
27000,Adventure;Atmospheric;Dark;Experience;Experimental;Exploration;Female Protagonist;Gothic;Great Soundtrack;Horror;Indie;Nudity;Psychological;Psychological Horror;Short;Singleplayer;Story Rich;Surreal;Third Person;Walking Simulator
27020,Anime;Atmospheric;Female Protagonist;Funny;Horror;Indie;Memes;Psychological;Psychological Horror;Short;Simulation;Singleplayer;Walking Simulator
27050,Adventure;Casual;Indie;Nudity;Psychological;Short
27200,Sports
27400,2D;Adventure;Board Game;Cartoon;Casual;Comedy;Cute;Female Protagonist;Historical;Indie;Interactive Fiction;Investigation;Minigames;Point & Click;RPG;Satire;Singleplayer;Story Rich;Surreal;Turn-Based Combat
27800,Abstract;Arcade;Indie;Psychedelic;Score Attack;Shoot 'Em Up
27810,Arcade;Indie;Psychedelic;Shoot 'Em Up
27900,Action;Adventure;Female Protagonist;First-Person;FPS;Puzzle;Story Rich
27920,Action;Indie;Multiplayer;Platformer;Shooter
27940,Action;Horror;Indie;Multiplayer;Singleplayer;Survival;Top-Down Shooter;Zombies
28000,Action;Adventure;Atmospheric;Co-op;Crime;Great Soundtrack;Heist;Local Co-Op;Mature;Multiplayer;Nudity;Open World;Psychological Horror;Shooter;Short;Singleplayer;Story Rich;Third Person;Third-Person Shooter;Violent
29120,Casual;Indie
29130,Casual;Hidden Object;Indie;Music;Point & Click;Puzzle
29160,2D;Adventure;Indie;Platformer;Puzzle;Short
29180,2D;Ambient;Arcade;Atmospheric;Casual;Difficult;Education;Great Soundtrack;Indie;Minimalist;Physics;Procedural Generation;Puzzle;Relaxing;Sci-fi;Science;Simulation;Singleplayer;Space;Strategy
29720,
29800,Action;Adventure;Atmospheric;Casual;Fast-Paced;Female Protagonist;Great Soundtrack;Indie;RPG;Shooter;Singleplayer;Strategy;Third Person;Third-Person Shooter
29900,Action;Atmospheric;Co-op;Difficult;Gore;Hack and Slash;Horror;Multiplayer;Sci-fi;Shooter;Singleplayer;Third Person;Third-Person Shooter;Violent
31100,3D;Adventure;Cartoony;Casual;Character Action Game;Choices Matter;Choose Your Own Adventure;Comedy;Family Friendly;Interactive Fiction;Narration;Point & Click;Psychological Horror;Singleplayer;Story Rich;Stylized;Visual Novel;World War II
31170,Adventure;Cartoon;Comedy;Episodic;Exploration;Funny;Narration;Pirates;Point & Click;Puzzle;Retro;Singleplayer;Story Rich;Supernatural
31270,2D;Action;Adventure;Atmospheric;Casual;Comedy;Conspiracy;Detective;Funny;Hand-drawn;Horror;Interactive Fiction;Mystery;Point & Click;Puzzle;Short;Singleplayer;Story Rich;Surreal;Touch-Friendly
31300,Action;FPS;Singleplayer
31700,Action;Co-op;FPS;Indie;Multiplayer;Steampunk;Tower Defense
31800,2.5D;2D;Adventure;Atmospheric;Based On A Novel;Casual;Classic;Detective;Exploration;Family Friendly;Female Protagonist;Funny;Great Soundtrack;Hidden Object;Mouse only;Mystery;Point & Click;Puzzle;Remake;Story Rich
31810,1990's;2.5D;2D;Adventure;Atmospheric;Based On A Novel;Casual;Classic;Cult Classic;Detective;Exploration;Female Protagonist;Funny;Great Soundtrack;Mouse only;Point & Click;Puzzle;Remake;Retro;Story Rich
31820,2.5D;2D;Adventure;Atmospheric;Based On A Novel;Casual;Classic;Detective;Drama;Exploration;Family Friendly;Female Protagonist;Funny;Great Soundtrack;Mouse only;Point & Click;Puzzle;Retro;Singleplayer;Story Rich
31830,1990's;2.5D;Adventure;Atmospheric;Based On A Novel;Casual;Classic;Cult Classic;Detective;Exploration;Family Friendly;Female Protagonist;Funny;Great Soundtrack;Mouse only;Mystery;Point & Click;Puzzle;Retro;Story Rich
31840,2D;Adventure;Atmospheric;Casual;Classic;Detective;Drama;Exploration;Family Friendly;Female Protagonist;Funny;Great Soundtrack;Linear;Mouse only;Point & Click;Puzzle;Remake;Retro;Story Rich;Visual Novel
31850,2.5D;2D;Adventure;Atmospheric;Based On A Novel;Casual;Classic;Detective;Drama;Exploration;Family Friendly;Female Protagonist;Funny;Great Soundtrack;Mouse only;Mystery;Point & Click;Puzzle;Retro;Story Rich
31860,2.5D;2D;Adventure;Atmospheric;Based On A Novel;Casual;Classic;Detective;Exploration;Female Protagonist;Funny;Great Soundtrack;Linear;Mouse only;Mystery;Point & Click;Puzzle;Retro;Story Rich;Visual Novel
31870,Adventure;Atmospheric;Casual;Detective;Exploration;Female Protagonist;Hidden Object;Mystery;Point & Click;Puzzle;Story Rich
31880,2.5D;Adventure;Atmospheric;Based On A Novel;Casual;Classic;Detective;Drama;Exploration;Family Friendly;Female Protagonist;Funny;Great Soundtrack;Mouse only;Mystery;Point & Click;Puzzle;Remake;Retro;Story Rich
31890,2.5D;Adventure;Atmospheric;Casual;Classic;Cult Classic;Detective;Exploration;Family Friendly;Female Protagonist;Funny;Great Soundtrack;Linear;Mouse only;Mystery;Point & Click;Puzzle;Remake;Retro;Story Rich
31900,2.5D;2D;Adventure;Atmospheric;Based On A Novel;Casual;Classic;Cult Classic;Detective;Exploration;Family Friendly;Female Protagonist;Funny;Great Soundtrack;Linear;Mouse only;Point & Click;Puzzle;Remake;Story Rich
31910,2.5D;2D;Adventure;Atmospheric;Casual;Classic;Cult Classic;Detective;Drama;Exploration;Family Friendly;Female Protagonist;Funny;Great Soundtrack;Mouse only;Mystery;Point & Click;Puzzle;Retro;Story Rich
31920,1990's;2.5D;2D;Adventure;Atmospheric;Casual;Classic;Detective;Drama;Exploration;Family Friendly;Female Protagonist;Funny;Great Soundtrack;Mouse only;Point & Click;Puzzle;Remake;Retro;Story Rich
31930,2.5D;Adventure;Atmospheric;Casual;Classic;Cult Classic;Detective;Drama;Exploration;Family Friendly;Female Protagonist;Funny;Great Soundtrack;Mouse only;Point & Click;Puzzle;Remake;Retro;Singleplayer;Story Rich
32000,Casual;Indie
32110,Casual;Mahjong;Puzzle;Singleplayer
32120,Casual;Match 3;Puzzle
32140,Adventure;Casual;Hidden Object;Point & Click;Puzzle
32150,Addictive;Casual;Indie;Logic;Puzzle;Relaxing;Strategy
32160,Bowling;Casual;Funny;Horror;Singleplayer;Sports;Zombies
32200,Action;Indie;Multiplayer;Racing;Sports
32310,1980s;Adventure;Classic;Movie;Pixel Graphics;Point & Click
32330,Action;Adventure;Classic;Co-op;Comedy;Controller;Family Friendly;Funny;Great Soundtrack;LEGO;Local Co-Op;Local Multiplayer;Multiplayer;Platformer;Singleplayer
32340,1990's;2D;Adventure;Atmospheric;Classic;Comedy;Cult Classic;Fantasy;Funny;Great Soundtrack;Magic;Music;Pixel Graphics;Point & Click;Puzzle;Retro;Short;Singleplayer;Story Rich;Third Person
32350,Action;Classic;Flight;Sci-fi;Simulation;Singleplayer;Space
32360,1990's;2D;Adventure;Atmospheric;Classic;Comedy;Cult Classic;Escape Room;Family Friendly;Funny;Great Soundtrack;Nostalgia;Pirates;Pixel Graphics;Point & Click;Puzzle;Remake;Retro;Singleplayer;Story Rich
32370,Action;Adventure;Atmospheric;Choices Matter;Classic;Exploration;Fantasy;Female Protagonist;Great Soundtrack;Moddable;Open World;Party-Based RPG;Real-Time with Pause;RPG;Sci-fi;Singleplayer;Space;Story Rich;Third Person;Turn-Based
32380,1990's;Action;Adventure;Boomer Shooter;Classic;First-Person;FMV;FPS;Great Soundtrack;Multiplayer;Retro;Sci-fi;Shooter;Singleplayer;Space;Story Rich;Third Person
32390,1990's;Action;Adventure;Boomer Shooter;Classic;Female Protagonist;First-Person;FPS;Great Soundtrack;Multiplayer;Retro;Sci-fi;Shooter;Singleplayer;Third Person
32400,1990's;2.5D;Action;Adventure;Atmospheric;Boomer Shooter;Classic;Cult Classic;Difficult;First-Person;FPS;Great Soundtrack;Nostalgia;Old School;Pixel Graphics;Retro;Sci-fi;Shooter;Singleplayer;Space
32410,Casual;Female Protagonist;Indie;Platformer;Puzzle
32430,Action;Adventure;Atmospheric;Beat 'em up;Classic;Controller;Difficult;Great Soundtrack;Hack and Slash;Multiplayer;Multiple Endings;Physics;Platformer;Quick-Time Events;RPG;Sci-fi;Singleplayer;Space;Story Rich;Third Person
32440,Action;Adventure;Casual;Classic;Co-op;Comedy;Controller;Family Friendly;Funny;Great Soundtrack;LEGO;Local Co-Op;Local Multiplayer;Multiplayer;Online Co-Op;Open World;Puzzle;Sci-fi;Singleplayer;Space
32450,Action;Adventure;Co-op;Comedy;Controller;Family Friendly;Funny;LEGO;Level Editor;Local Co-Op;Local Multiplayer;Multiplayer;Open World;Puzzle;Singleplayer
32460,1990's;2D;Adventure;Atmospheric;Classic;Comedy;Cult Classic;Funny;Great Soundtrack;Nostalgia;Pirates;Pixel Graphics;Point & Click;Puzzle;Remake;Retro;Singleplayer;Story Rich
32470,4X;Action;Adventure;Atmospheric;Classic;Co-op;Epic;Grand Strategy;Great Soundtrack;Mod;Moddable;Multiplayer;RTS;Sci-fi;Simulation;Singleplayer;Space;Strategy;Tactical;War
32500,Action;Adventure;Atmospheric;Controller;Difficult;Fantasy;Great Soundtrack;Hack and Slash;Physics;RPG;Sci-fi;Singleplayer;Space;Story Rich;Third Person
32510,Action;Adventure;Co-op;Comedy;Controller;Family Friendly;Fantasy;Funny;Great Soundtrack;LEGO;Local Co-Op;Multiplayer;Online Co-Op;Open World;Puzzle;Sci-fi;Singleplayer;Space;Strategy;Third Person
32610,Action;FPS
32620,1990's;Action;Classic;First-Person;FPS;Military;Shooter;Singleplayer;Tactical;Voxel
32630,Action;Classic;First-Person;FPS;Military;Shooter;Singleplayer;Tactical
32640,Action;FPS;Military;Shooter;Singleplayer;Tactical
32650,Action;First-Person;FPS;Military
32660,Action;FPS;Military
32680,Action;Classic;First-Person;FPS;Military;Multiplayer;Shooter
32710,Simulation;Tanks
32720,Flight;Military;Simulation
32730,Flight;Simulation
32740,Flight;Simulation
32750,Action;Classic;Flight;Military;Simulation
32760,Classic;Sci-fi;Simulation;Space;Space Sim
32770,Action;Co-op;FPS;Gore;Military;Multiplayer;Shooter;Singleplayer
32900,Adventure;Agriculture;Building;Capitalism;Casual;Cooking;Economy;Family Friendly;Free to Play;Indie;Life Sim;Management;Memes;Relaxing;Remake;Resource Management;Simulation;Singleplayer;Strategy;Walking Simulator
33100,Action;Action RPG;Aliens;Arcade;Arena Shooter;Atmospheric;Beat 'em up;Blood;Gore;Horror;Indie;Isometric;Looter Shooter;Rogue-like;RPG;Sci-fi;Shooter;Singleplayer;Top-Down;Top-Down Shooter
33110,Action;Aliens;Gore;Indie;Isometric;RPG;Shooter;Singleplayer;Top-Down Shooter
33120,3D;Action;Action RPG;Aliens;Alternate History;Atmospheric;Character Customization;Gore;Horror;Isometric;Loot;Looter Shooter;PvE;Realistic;RPG;Sci-fi;Shoot 'Em Up;Shooter;Singleplayer;Survival
33130,2D;Action;Action RPG;Arcade;Blood;CRPG;Gore;Horror;Indie;Inventory Management;Isometric;Rogue-lite;RPG;Shoot 'Em Up;Shooter;Singleplayer;Survival;Top-Down Shooter;Twin Stick Shooter;Zombies
33180,Action;Gore;Horror;Indie;Isometric;RPG;Shooter;Singleplayer;Top-Down;Top-Down Shooter;Zombies
33220,Action;Co-op;Multiplayer;Shooter;Singleplayer;Stealth;Story Rich;Third Person;Third-Person Shooter
33230,Action;Action-Adventure;Adventure;Alternate History;Assassin;Atmospheric;Classic;Conspiracy;Controller;Great Soundtrack;Historical;Multiplayer;Open World;Parkour;Sandbox;Sci-fi;Singleplayer;Stealth;Story Rich;Third Person
33320,3D Platformer;Action;Adventure;Fantasy;Hack and Slash;Parkour;Platformer;Singleplayer;Story Rich;Third Person;Time Manipulation
33390,Action;Indie;Shoot 'Em Up;Side Scroller
33460,Adventure;Beautiful;Building;God Game;Magic;Open World;Physics;Puzzle;Sandbox;Simulation;Singleplayer;Strategy
33520,City Builder;Classic;Comedy;Economy;Great Soundtrack;Isometric;Management;Pirates;RTS;Sandbox;Simulation;Singleplayer;Strategy
33550,Action;RPG
33570,Classic;Economy;Historical;Management;Medieval;Multiplayer;Naval;Pirates;RPG;Simulation;Strategy;Trading
33580,Management;Simulation;Strategy;Trading
33600,1990's;2D;Adventure;Atmospheric;Cartoon;Cartoony;Comedy;Conspiracy;Detective;Drama;Funny;Hand-drawn;Hidden Object;Mystery;Old School;Point & Click;Puzzle;Remake;Retro;Singleplayer
33610,3D;3D Platformer;Action;Adventure;Atmospheric;Comedy;Conspiracy;Female Protagonist;Funny;Mystery;Point & Click;Puzzle;Quick-Time Events;Retro;Sequel;Singleplayer;Stealth;Story Rich;Third Person;Walking Simulator
33620,Action;Arcade;Automobile Sim;Local Multiplayer;Multiplayer;Open World;Racing;Simulation;Split Screen
33650,Casual;Logic;Puzzle;Singleplayer;Touch-Friendly;Word Game
33660,Casual;Indie;Puzzle
33670,Fantasy;RPG;Singleplayer;Strategy;Turn-Based;Turn-Based Strategy
33680,2D;Atmospheric;Colorful;Cute;Dark;Difficult;Horror;Indie;Lovecraftian;Multiple Endings;Pixel Graphics;Platformer;Psychological Horror;Puzzle;Puzzle-Platformer;Retro;Short;Side Scroller;Singleplayer
33700,Casual;Simulation
33710,Casual;Simulation
33720,Casual;Simulation
33730,Automobile Sim;Driving;Simulation
33750,Management;Simulation
33760,Casual;Hidden Object
33770,Adventure;Atmospheric;Character Customization;CRPG;Dwarf;Fantasy;Party-Based RPG;Real-Time with Pause;RPG;Singleplayer;Third Person;Turn-Based
33790,Casual;Hidden Object
33900,Action;Co-op;First-Person;FPS;Military;Moddable;Multiplayer;Open World;Realistic;Sandbox;Shooter;Simulation;Singleplayer;Strategy;Tactical;Third Person;Third-Person Shooter;TrackIR;War;Zombies
33930,Action;Co-op;Difficult;First-Person;FPS;Military;Moddable;Modern;Multiplayer;Open World;Realistic;Sandbox;Shooter;Simulation;Singleplayer;Strategy;Tactical;Team-Based;Third Person;War
33950,Casual;Difficult;Funny;Indie;Puzzle;Singleplayer;Sokoban
33980,Action;Open World;Singleplayer;Third Person;Third-Person Shooter;Violent;Zombies
33990,Adventure;Cyberpunk;Dystopian ;Point & Click;Sci-fi;Singleplayer
34010,Action;Action RPG;Adventure;Atmospheric;Character Customization;Choices Matter;Cult Classic;Gore;Modern;Multiple Endings;Replay Value;Romance;RPG;Shooter;Singleplayer;Stealth;Story Rich;Third Person;Third-Person Shooter;Violent
34030,Action;Classic;Co-op;Grand Strategy;Great Soundtrack;Historical;Military;Moddable;Multiplayer;Naval;Real Time Tactics;RTS;Simulation;Singleplayer;Strategy;Tactical;Turn-Based;Turn-Based Strategy;Turn-Based Tactics;War
34190,3D;4 Player Local;Action;Anime;Arcade;Casual;Co-op;Colorful;Combat Racing;Controller;Driving;Family Friendly;Fast-Paced;Great Soundtrack;Local Multiplayer;Multiplayer;Online Co-Op;Racing;Singleplayer;Split Screen
34410,Action;Atmospheric;Shooter;Singleplayer;Stealth;Third Person;World War II
34420,Historical;Medieval;RTS;Strategy
34500,Indie;RTS;Sci-fi;Simulation;Space;Strategy
34600,Historical;RTS;Singleplayer;Strategy;War;World War II
34630,Strategy;Turn-Based;Turn-Based Strategy
34640,Strategy;Turn-Based
34800,Adventure;Female Protagonist;Point & Click;Puzzle
34810,Action;Flight;Sci-fi;Shooter;Simulation;Singleplayer;Space;Space Sim
34820,Action;Arcade;Flight;Multiplayer;Shooter;Simulation;Singleplayer;World War II
34830,Action;Adventure;Bullet Time;First-Person;FPS;Military;Multiplayer;Shooter;Simulation;Singleplayer;Sniper;Stealth;Tactical;War
34870,Action;Adventure;Atmospheric;Bullet Time;Co-op;Controller;Difficult;First-Person;FPS;Military;Multiplayer;Online Co-Op;Open World;Shooter;Simulation;Singleplayer;Sniper;Stealth;Strategy;Tactical
34900,Addictive;Beautiful;Blood;Choices Matter;Co-op;Cult Classic;Dark;Gore;Hentai;Indie;Mature;Perma Death;Physics;Psychedelic;Puzzle;Quick-Time Events;Replay Value;Singleplayer;Third-Person Shooter;Violent
34920,Action;Arcade;Bullet Hell;Casual;Indie;Shoot 'Em Up;Shooter
35000,3D Platformer;Action;Adventure;Anime;Beautiful;Casual;Controller;Cute;Family Friendly;Funny;Great Soundtrack;Hack and Slash;Multiplayer;Ninja;Open World;Platformer;Singleplayer;Souls-like;Stealth;Third Person
35070,Agriculture;Casual;Farming Sim;Time Management
35130,Action;Adventure;Arcade;Co-op;Co-op Campaign;Controller;Difficult;Exploration;Female Protagonist;Isometric;Local Co-Op;Local Multiplayer;Multiplayer;Online Co-Op;Platformer;Puzzle;Puzzle-Platformer;Singleplayer;Third Person;Twin Stick Shooter
35140,3D Vision;Action;Action-Adventure;Adventure;Atmospheric;Beat 'em up;Comic Book;Controller;Dark;Detective;Fighting;Horror;Metroidvania;Open World;Puzzle;Singleplayer;Stealth;Story Rich;Superhero;Third Person
35300,Military;RTS;Strategy
35310,Action;Arcade;Automobile Sim;Blood;Combat Racing;Comedy;Controller;Destruction;Driving;Exploration;Funny;Gore;Open World;Post-apocalyptic;Racing;Shooter;Simulation;Singleplayer;Violent;Zombies
35320,Action;Arcade;Local Multiplayer;Multiplayer;Offroad;Racing;Singleplayer;Split Screen
35450,Action;Atmospheric;First-Person;FPS;Gore;Historical;Immersive;Immersive Sim;Military;Multiplayer;Realistic;Shooter;Simulation;Singleplayer;Tactical;Tanks;Team-Based;War;Wargame;World War II
35460,3D;3D Platformer;Action;Adventure;Atmospheric;Cold War;Controller;Exploration;First-Person;FPS;Horror;Indie;Logic;Physics;Puzzle;Puzzle-Platformer;Sci-fi;Singleplayer;Strategy;Underground
35480,2D;2D Platformer;Base-Building;Colony Sim;Dwarf;Fantasy;Immersive Sim;Indie;Management;Memes;Mining;Pixel Graphics;Procedural Generation;Sandbox;Simulation;Singleplayer;Strategy;Survival;Top-Down;Tower Defense
35600,Adventure;Casual;Point & Click;Puzzle;Strategy
35700,2D;Action;Adventure;Atmospheric;Beautiful;Casual;Co-op;Fantasy;Female Protagonist;Great Soundtrack;Indie;Local Co-Op;Local Multiplayer;Multiplayer;Online Co-Op;Physics;Platformer;Puzzle;Puzzle-Platformer;Singleplayer
35720,2D;2D Platformer;Action;Adventure;Atmospheric;Beautiful;Casual;Co-op;Fantasy;Great Soundtrack;Indie;Local Co-Op;Multiplayer;Online Co-Op;Physics;Platformer;Puzzle;Puzzle-Platformer;RPG;Singleplayer
35800,Casual;Free to Play;Indie;Psychedelic
36000,Action;Arena Shooter;Blood;Cartoon;Casual;Dark Humor;Gore;Indie;Shooter;Third Person;Third-Person Shooter;Violent
36130,Casual;Trading
36150,Casual;City Builder;RTS;Strategy;Western
36900,Action;Artificial Intelligence;Casual;Co-op;Combat;Comedy;Flight;Futuristic;Indie;Local Multiplayer;Multiplayer;Online Co-Op;Open World;Real-Time;Sandbox;Sci-fi;Shooter;Simulation;Singleplayer;Space
36910,Action;Artificial Intelligence;Casual;Co-op;Combat;First-Person;Flight;FPS;Futuristic;Local Multiplayer;Multiplayer;Online Co-Op;Open World;Robots;Sandbox;Sci-fi;Shooter;Simulation;Singleplayer;Third Person
37000,Action-Adventure;Adventure;Atmospheric;Dark;Difficult;Emotional;First-Person;Horror;Mature;Multiple Endings;Nudity;Philosophical;Psychological;Resource Management;Singleplayer;Soundtrack;Spectacle fighter;Story Rich;Surreal;Survival
37210,Casual;Management;Simulation
37220,Casual;Cooking;Simulation;Time Management
37230,Simulation
37240,Casual;Cooking;Simulation;Time Management
37260,2D;Adventure;Detective;Fantasy;Female Protagonist;Noir;Point & Click
37280,Simulation;Time Management
37290,Casual;Puzzle
37300,Casual;Management;Simulation
37310,Casual;Hidden Object
37320,Casual;Hidden Object
37330,Casual;Hidden Object
37340,Casual;Time Management
37360,Casual;Mahjong;Puzzle
37370,Casual
37380,Casual;Hidden Object
37390,Casual;Family Friendly;Indie;Simulation;Singleplayer
37400,1990's;2D;Adventure;Classic;Comedy;Cult Classic;Funny;Hand-drawn;Indie;Point & Click;Puzzle;Retro;Singleplayer;Time Travel
37500,Casual;Indie;Puzzle
37600,Adventure;Atmospheric;Beautiful;Casual;Cute;Family Friendly;Indie;Point & Click;Puzzle;Relaxing;Short;Singleplayer;Surreal
37800,Casual;Indie;Puzzle
37960,Casual;Match 3;Puzzle
38000,Casual;Mahjong;Puzzle
38070,Casual;Simulation
38080,Building;Simulation;Time Management
38090,Simulation
38100,Building;Simulation
38110,Simulation;Time Management
38120,Agriculture;Casual;Farming Sim;Time Management
38130,Agriculture;Casual;Farming Sim;Time Management
38140,Agriculture;Casual
38150,Agriculture;Casual;Puzzle;Time Management
38160,Agriculture;Casual
38170,Casual;Match 3
38180,Casual;Match 3
38190,Casual;Hidden Object
38210,Casual;Indie;Puzzle
38230,Building;Casual;Economy;Grand Strategy;Immersive Sim;Management;Relaxing;Resource Management;RTS;Sandbox;Sequel;Simulation;Singleplayer;Strategy;Time Manipulation;Top-Down
